题号,题干,A,B,C,D,E,答案,难度,题型
69105,在生产力和生产关系这对矛盾中(      ),生产力决定生产关系,生产关系可以超越生产力的发展水平,生产力落后于生产关系的变化,生产关系是生产力的物质基础,,A,易,单选题
69108,上层建筑是一个庞大的系统，由两在部分构成。这两部分是（　　）,政治上层建筑和观念上层建筑,政治思想和法律思想,行政机关和立法机关,政治制度和法律制度,,A,易,单选题
69109,历史唯物主义和历史唯心主义在历史创造者问题上的根本对立在于是否承认（　　）,杰出人物的历史发展中的作用,思想动机在历史发展中的作用,剥削阶级代表人物在历史发展中的作用,人民群众是历史发展的决定力量,,D,易,单选题
69110,在经济基础和上层建筑这对矛盾中（    ）,上层建筑决定经济基础的变革要求,上层建筑决定经济基础的性质,上层建筑各部分随着经济基础的变更立即发生变化,上层建筑会对经济基础具有反作用,,D,易,单选题
69111,国体和政体的关系属于(      ),本质和现象的关系,必然和偶然的关系,普遍和特殊的关系,内容和形式的关系,,D,易,单选题
69112,从起源上看，国家是（　　　）,维护社会秩序和社会正义的产物,阶级矛盾不可调和的产物,适应管理社会公共事务需要的产物,防御外敌颠覆活动的产物,,B,易,单选题
69113,国体指的是（　　 ）,国家政权的社会职能,国家政权的组织形式和管理形式,国家政权的政治职能,社会各阶级在国家政权中的地位和作用,,D,易,单选题
69114,国家政权主要代表（　　）,统治阶级的利益,先进阶级的利益,劳动人民的利益,剥削阶级的利益,,A,易,单选题
69115,马克思主义认为，阶级斗争的根源是（　　）,不同阶级在政治态度上的根本对立,不同阶级在经济利益上的根本对立,不同阶级在意识形态上的根本对立,不同阶级在职业分工上的根本对立,,B,易,单选题
69116,马克思主义认为，阶级产生的基本前提是（　　）,通过做投机生意而攫取高额利润,通过放高利贷而获取高额利息,由于生产力发展而出现剩余产品,通过发动战争掠夺其他氏族的财产,,C,易,单选题
69117,划分阶级的唯一标准是（）,经济标准,道德标准,政治标准,社会标准,,A,易,单选题
69119,社会改革是（　　）,改变社会经济制度,对社会体制进行改善和革新,改变人的思想观念,改变社会政治制度,,B,易,单选题
69120,社会革命的根本问题是（    ）,争取公平正义问题,争取人类解放问题,夺取国家政权问题,争取民主自由问题,,C,易,单选题
69121,社会革命的最深刻的根源在于（　　）,人口过多和资源匮乏的矛盾,生产力和生产关系的矛盾,先进生产力和落后生产力的矛盾,先进文化和落后文化的矛盾,,B,易,单选题
69122,社会革命首要的基本的标志是（      ）,合理的经济体制代替不合理的经济体制,国家政权从反动阶级手里转移到革命的进步的阶级手里,先进的政治思想代替落后的政治思想,高效率的政治体制代替低效率的政治体制,,B,易,单选题
69123,下列各项属于社会革命的是（　　　）,先进阶级推翻反动统治阶级的国家政权的斗争,社会各阶级之间的经济斗争,剥削阶级和被剥削阶级之间的激烈的政治斗争,各种不同政治势力之间的武装斗争,,A,易,单选题
69124,马克思说“革命是历史的火车头”，这句话形象而深刻地说明了(     ),革命在推动社会发展中的重要作用,革命阶级要积极主动地制造革命以推动社会发展生产中起主导作用和超前作用,革命是社会发展的最深刻的根源,暴力革命是实现社会形态更替的惟一形式,,A,易,单选题
69126,"""人民群众是历史的创造者""这一基本观点的理论前提（　　）",生产方式是人类社会存在和发展的基础的原理,意识对物质具有能动反作用的原理,人的本质属性是社会性的原理,人口因素对社会发展有制约作用的原理,,A,易,单选题
69127,历史人物分为杰出人物和反动人物。杰出人物是指 （　　）,无产阶级的伟大政治家和思想家,对历史发展起促进作用的伟大人物,上升时期的剥削阶级的先进代表,历史上被剥削阶级的革命领袖,,B,易,单选题
69128,人民群众创造历史的活动受历史条件的制约。这种观点是说（　）,人民群众不是历史的创造者,人民群众不是社会发展的决定力量,人民群众不能随心所欲地创造历史,人民群众不是历史活动的主体,,C,易,单选题
69129,“每一个社会时代都需要有自己的伟大人物，如果没有这样的人物，它就要把他们创造出来。”这种观点（　　　）,正确说明了杰出人物的产生和作用,否认了人民群众是历史发展的决定力量,属于英雄创造历史的唯心史观,违背了党的群众观点和群众路线历史发展中的作用,,A,易,单选题
69130,"""任何英雄人物的历史作用都不能超出他们所处历史条件所许可的范围""。这种观点属于（　　　）",历史唯物主义观点,否认个人历史作用的观点,机械决定论观点,历史宿命论观点,,A,易,单选题
69131,历史人物在历史上的作用表现为（　　）,改变历史发展的规律,改变历史发展的方向,决定历史时代的根本特点,加速或延缓历史的发展,,D,易,单选题
69132,坚持无产阶级政党的群众观点，就要坚信（　　　）,人民群众自己解放自己,群众有高度的改革开放自觉性,群众运动具有天然合理性,群众有自发的社会主义觉悟,,A,易,单选题
69133,上层建筑是推动还是阻碍社会的发展取决于 ( ),它是否同自己的经济基础相适合,它是否与经济基础存在着矛盾,它所服务的经济基础的性质,它本身的各个部分是否协调,,C,易,单选题
69134,我国社会主义上层建筑的核心是 ( ),人民民主专政的国家政权,社会主义的政治法律观点,马克思列宁主义、毛泽东思想,共产主义的道德和理想,,A,易,单选题
69135,社会意识相对独立性的最突出表现是它 ( ),同社会存在发展的不同步性,对社会存在具有能动的反作用,同社会经济的发展具有不平衡性,具有历史的继承性,,B,易,单选题
69136,"“手推磨产生的是封建主的社会 , 蒸汽磨产生的是工业资本家的社会” , 这句话揭示了（）",物质生产的发展需要建立相应的生产关系,社会形态的更替有其一定的顺序性,科学技术是第一生产力,生产工具是衡量生产力水平的重要尺度,,A,易,单选题
69137,当前我国的改革也是一场革命，是指通过改革(),根本变革社会经济制度,根本变革社会的政治制度,改变社会的经济体制和政治体制,同一切传统观点彻底决裂,,C,易,单选题
69138,英雄史观的理论出发点是(),社会意识具有能动的反作用,人是社会活动的主体,社会意识决定社会存在,社会运动是受偶然性支配的,,C,易,单选题
69139,人民群众是历史的创造者，其根本原因是(),人民群众是社会生产力的承担者,人民群众有无穷的智慧,人民群众占人口的大多数,人民群众的活动总是合理的,,A,易,单选题
69140,我国的国民经济随着改革开放的不断深入而得到了迅速的发展，这说明（）,生产关系对生产力具有反作用,生产关系的变化决定着生产力的发展,生产关系的任何变化都会促进生产力的发展,有时生产关系对生产力也具有决定作用,,A,易,单选题
69142,政治经济学研究的出发点是（        ）,社会生产关系,社会生产力,社会生产方式,物质资料的生产,,D,易,单选题
69144,生产资料是指（          ）,劳动对象与劳动者之和,劳动对象与劳动工具之和,劳动资料与劳动对象之和,劳动资料与劳动工具之和,,C,易,单选题
69145,从劳动过程看，在汽车修配厂正在检修的汽车是（        ）,劳动工具,劳动资料,劳动产品,劳动对象,,D,易,单选题
69146,在人们的各种社会关系中，最基本的关系是（          ）,政治关系,家庭关系,生产关系,法律关系,,C,易,单选题
69147,生产力是生产过程中（         ）,人与社会的关系,人与市场的关系,人与自然的关系,人与人的关系,,C,易,单选题
69149,生产力中物的因素是指（         ）,劳动资料,生产工具,劳动对象,生产资料,,D,易,单选题
69151,在资本主义制度下起作用的特有经济规律是（         ）,剩余价值规律,竞争规律,货币流通规律,价值规律,,A,易,单选题
69154,马克思主义政治经济学的最主要理论来源是（        ）,英国古典政治经济学,重商主义理论,资产阶级庸俗政治经济学,空想社会主义经济理论,,A,易,单选题
69155,研究政治经济学必须紧密联系生产力来考察生产关系。这是因为（       ）,政治经济学的研究对象是生产力,生产力决定生产关系,生产关系决定生产力,生产关系反作用于生产力,,B,易,单选题
69157,人们认识经济规律的目的在于（         ）,承认经济规律的客观性,创造经济规律,利用经济规律能动地改造世界,消灭经济规律,,C,易,单选题
69158,政治经济学研究生产关系及其发展规律时，必须联系（        ）,人们在生产过程中的物质利益,生产力和上层建筑的状况,人们在生产过程中的地位,生产资料所有制结构,,B,易,单选题
69159,生产力发展的社会条件是（        ）,科学技术高度发达,经济体制,物质资料生产高度发达,生产关系,,D,易,单选题
69162,分析资本主义生产方式，必须首先分析（         ）,商品,利润,货币,资本,,A,易,单选题
69163,商品是（          ）,具有使用价值的产品,用来交换的劳动产品,满足劳动者自己需要的劳动产品,满足社会需要的产品,,B,易,单选题
69164,商品的本质属性是（         ）,交换价值,使用价值,价值,价格,,C,易,单选题
69167,"马克思指出：""如果物没有用，那么其中包含的劳动也就没有用，不能算作劳动。因此不形成价值。""这段话说明（          ）",价值的存在与物的有用性互为前提,物越是有用就越有价值,价值的存在以物的有用性为前提,只要物是有用的，它就有价值,,C,易,单选题
69168,马克思说：“我们不可能从对小麦的品尝当中，来判定它是由封建社会的农奴生产的，还是由资本主义制度下雇佣劳动者生产的。”这句话表明（        ）,使用价值是商品和其他产品的共有属性，它体现人类社会共同的经济关系,使用价值是价值的物质承担者，与价值共同反映人们的社会生产关系,使用价值是商品的自然属性，它本身不反映人们的社会生产关系,使用价值以价值的存在为前提，反映人和自然界的关系,,C,易,单选题
69169,商品的使用价值和价值的关系是（        ）,没有使用价值的东西，就不会有价值,没有价值的东西就没有使用价值,有价值的东西不一定有使用价值,有使用价值的东西就有价值,,A,易,单选题
69170,马克思说：“一切商品对它们的所有者是非使用价值，对它们的非所有者是使用价值。”这句话表明（          ）,有使用价值的不一定有价值,商品不可能既有使用价值又有价值,商品所有者同时获得使用价值和价值,商品是使用价值和价值的对立统一,,D,易,单选题
69171,具体劳动和抽象劳动的区别在于（         ）,具体劳动是体力劳动，抽象劳动是脑力劳动,具体劳动是简单劳动，抽象劳动是复杂劳动,具体劳动和抽象劳动是两个不同的劳动过程,具体劳动生产使用价值，抽象劳动形成价值,,D,易,单选题
69172,生产商品的具体劳动和抽象劳动的关系是（         ）,先有具体劳动，后有抽象劳动,一会儿是具体劳动，一会儿是抽象劳动,不是具体劳动，就是抽象劳动,具体劳动和抽象劳动是同一劳动过程的两个方面,,D,易,单选题
69173,价值的实体是凝结在商品中的（        ）,脑力劳动,具体劳动,体力劳动,抽象劳动,,D,易,单选题
69174,在商品生产过程中，具体劳动的作用是（         ）,创造使用价值,创造剩余价值,创造生产资料的价值,创造新价值,,A,易,单选题
69175,抽象劳动的支出必须借助于（        ）,剩余劳动,商品的生产形式,资本主义生产方式,具体劳动,,D,易,单选题
69176,商品的价值量是由生产商品的社会必要劳动时间决定的，它是在（        ）,不同商品的生产者之间的竞争中实现的,商品的生产者和消费者之间的竞争中实现的,商品的生产者和销售者之间的竞争中实现的,同类商品的生产者之间的竞争中实现的,,D,易,单选题
69177,同商品价值量成反比例的劳动生产率是指（        ）,某企业的劳动生产率,某个人的劳动生产率,某部门的平均劳动生产率,全社会各部门各行业的平均劳动生产率,,C,易,单选题
69178,单位商品的价值量与劳动生产率是（         ）,成反比,成正比,有时成正比，有时成反比,成正方向变化,,A,易,单选题
69179,在同一劳动时间内，由于劳动生产率的提高，生产出的商品数量和单位商品价值量都发生了变化，这种变化是（         ）,商品数量减少，单位商品的价值量不变,商品数量减少，单位商品的价值量增大,商品数量增加，单位商品的价值量减少,商品数量增加，单位商品的价值量不变,,C,易,单选题
69180,社会必要劳动时间是以（        ）为尺度的。,复杂劳动,抽象劳动,具体劳动,简单劳动,,D,易,单选题
69181,商品生产者要获得更多的收益必须使生产商品的（         ）,个别劳动时间低于社会必要劳动时间,个别劳动时间等于社会必要劳动时间,个别劳动时间大大高于社会必要劳动时间,个别劳动时间高于社会必要劳动时间,,A,易,单选题
69182,简单商品经济的基本矛盾是（         ）,私人劳动和社会劳动的矛盾,具体劳动和抽象劳动的矛盾,个别价值和社会价值的矛盾,使用价值和价值的矛盾,,A,易,单选题
69183,货币的本质是（        ）,商品交换的媒介物,价值的表现形式,流通手段,固定地充当一般等价物的特殊商品,,D,易,单选题
69184,货币执行价值尺度的职能（         ）,可以用观念上的货币,必须是纸币,必须是金属货币,必须是现实的货币,,A,易,单选题
69186,货币具有价值尺度的职能是因为（         ）,具有使用价值,能够分为若干等份,是商品，具有使用价值和价值,是金银,,C,易,单选题
69188,“金银天然不是货币，货币天然是金银”这句话的含义是指（         ）,货币天然地最适宜于从当金银,金银天然地最适宜于从当货币,金银生来就从当货币,货币生来就由金银从当,,B,易,单选题
69189,价值规律是（        ）,资本主义社会特有的经济规律,社会主义社会特有的经济规律,一切商品经济共有的经济规律,一切社会共有的经济规律,,C,易,单选题
69190,同等重量的黄金和生铁，黄金的价值比生铁的价值更大。这是由于（         ）,生产黄金比生产生铁所消耗的社会必要劳动时间多,黄金是贵重的、稀缺商品，而生铁不是,黄金过去是、现在仍然是重要的价值尺度，而生铁不是,黄金的使用价值比生铁的使用价值更大,,A,易,单选题
69191,在商品交换过程中，赊买赊卖的情况所体现的货币职能属于（         ）,价值尺度,贮藏手段,流通手段,支付手段,,D,易,单选题
69192,在商品流通中，货币的作用是（       ）,能决定商品的价格，也能实现商品的价格,不能决定商品的价格，只能实现商品的价格,不能决定商品的价格，也不能实现商品的价格,能决定商品的价格，不能实现商品的价格,,B,易,单选题
69193,商店里出售的各种商品，都贴有价格标签，这些价格标签表明货币在（       ）,发挥支付手段的职能,作为社会财富的代表,充当流通手段的职能,执行价值尺度的职能,,D,易,单选题
69194,通货紧缩是（       ）,货币供应量超过流通中所需要的货币量，引起纸币贬值，物价普遍上涨,货币供应量少于流通中所需要的货币量，引起货币价值含量上升，物价普遍下降,货币供应量超过流通中所需要的货币量，引起货币价值含量上升，物价普遍下降,货币供应量少于流通中所需要的货币量，引起纸币贬值，物价普遍上涨,,B,易,单选题
69195,在金属货币流通的条件下，通货紧缩（       ）,不会发生,是不可避免的,可能发生,取决于商品数量,,A,易,单选题
69196,通货膨胀是由于（        ）,按货币需要量决定货币发行数量,货币供应量大大少于货币需要量,货币供应量显著多于货币需要量,货币供应量刚好等于货币需要量,,C,易,单选题
69197,价值规律对生产、流通和消费的调节作用的实现形式是（       ）,使用价值与价值的矛盾运动,市场价格围绕着生产成本上下波动,价格根据市场供求变化围绕着价值上下波动，从而影响各个市场主体的利益,社会必要劳动时间与个别劳动时间的矛盾,,C,易,单选题
69198,在现代市场经济条件下，价值规律的作用，是通过（       ）,自觉运用和自发起作用共同实现的,市场自发实现的,价格实现的,国家的宏观调控实现的,,A,易,单选题
69199,生产要素的所有者共同参与财富分配的经济依据是（       ）,财富是由抽象劳动创造的,财富是由劳动与资本共同创造的,财富是由各种生产要素共同生产的,抽象劳动是价值的唯一源泉,,C,易,单选题
69201,劳动力商品与其他商品不同的最根本特征是（ ）,劳动力价值受历史道德因素影响,劳动力在一定条件下可以转化为商品,劳动力使用价值是价值的源泉,劳动力存在于人的身体之内,,C,易,单选题
69203,能准确反映资本家对工人剥削程度的因素是(  ),剩余价值率的高低,工人劳动强度的大小,工人工资的高低,工人劳动时间的长短,,A,易,单选题
69204,在资本主义生产过程中，生产资料的价值（ ）,随着生产耗费而逐渐消失,借助抽象劳动而再生产出来,能够发生价值增殖,借助具体劳动转移到产品中去,,D,易,单选题
69205,资本家采用先进技术的直接动因是（ ）,追逐超额剩余价值,降低劳动力价值,追逐绝对剩余价值,追逐相对剩余价值,,A,易,单选题
69206,区分不变资本和可变资本的依据是资本的不同部分(  ),根据价值周转方式不同,在价值增殖中的作用不同,在生产中位置是否移动,在运动中职能是否变化,,B,易,单选题
69207,资本的周转速度（ ）,同周转时间成正比，与周转次数成正比,同周转时间成反比，与周转次数成反比,同周转时间成正比，与周转次数成反比,同周转时间成反比，与周转次数成正比,,D,易,单选题
69208,资本主义机器制造厂生产出来的机器是该厂的（  ）,固定资本,生产资本,商品资本,流动资本,,C,易,单选题
69211,资本主义生产方式的绝对规律是（ ）,生产和再生产劳动力供资本家使用,生产价值,生产剩余价值或赚钱,生产使用价值或商品,,C,易,单选题
69212,下列选项中属于不变资本又属于固定资本的是(  ),辅助材料,原料,机器、设备,.燃料,,C,易,单选题
69213,研究社会资本再生产的核心问题是(  ),社会总产品的实现问题,国民收入的分配问题,剩余价值的实现问题,社会总产值的构成问题,,A,易,单选题
69214,资本主义扩大再生产的重要源泉是（ ）,剩余价值,可变资本,资本积累,剩余劳动,,C,易,单选题
69215,资本的有机构成可表示为（ ）,c∶v,m∶v,m∶c,c∶m,,A,易,单选题
69216,在资本主义条件下，部门之间的竞争形成了（ ）,超额剩余价值,商品的社会价值,商品的市场价格,平均利润率,,D,易,单选题
69218,利润本质上是( ),所费资本的产物,全部预付资本的产物,成本价格的产物,剩余价值,,D,易,单选题
69219,相对剩余价值的获得是（ ）,个别资本家提高劳动生产率的结果,延长工人劳动时间的结果,社会普遍提高劳动生产率的结果,普遍提高工人劳动强度的结果,,C,易,单选题
69221,利润率是(  ),剩余价值与预付总资本的比率,剩余价值与不变资本的比率,剩余价值与可变资本的比率,剩余价值与所费资本的比率,,A,易,单选题
69223,把剩余价值看成是全部预付资本的产物，就转化为( ),生产价格,利润,利息,成本价格,,B,易,单选题
69224,部门之间的竞争是以(  ),资本转移为特征的,资本循环为特征的,价格竞争为特征的,资本周转为特征的,,A,易,单选题
69226,资本循环的三种职能形式是（ ）,产业资本、商业资本、借贷资本,货币资本、生产资本、商品资本,固定资本、流动资本、生产资本,不变资本、可变资本、流通资本,,B,易,单选题
69227,资本主义经济危机的实质是（ ）,生产绝对过剩的危机,生产相对过剩的危机,生产过剩的危机,生产不足的危机,,B,易,单选题
69228,产业资本划分为货币资本、生产资本、商品资本的依据是资本各个部分（ ）,在循环中的职能不同,价值周转方式不同,存在的物质形态不同,在价值增殖过程中的作用不同,,A,易,单选题
69230,资本主义法制的核心是（ ）,刑法,民法,宪法,行政法,,C,易,单选题
69231,美国采取权力制衡的组织形式，其中立法权属于（ ）,最高检察院,国会,最高法院,总统,,B,易,单选题
69232,资本主义国家的选举的实质是（ ）,资产阶级和无产阶级分权,每个公民都能通过竞选参与政治活动，表达自己的愿望和要求,人民当家作主,协调统治阶级内部利益关系和矛盾的重要措施,,D,易,单选题
69233,资本主义政党制度的实质是（ ）,允许马克思主义政党独立执政,允许工人阶级及其政党参与国家政治生活,资产阶级选择自己的国家管理者，实现其内部利益平衡的政治机制,不受资本主义国家政权的资本主义性质制约,,C,易,单选题
69234,资产阶级意识形态的核心是（ ）,政治思想和法律思想,道德、伦理,文学、艺术和宗教,哲学、历史,,A,易,单选题
69235,资本主义生产成本中不应包括（ ）,固定资本未折旧部分,固定资本折旧,支付的工资,原材料费用,,A,易,单选题
69236,资本主义经济危机根源是（ ）,生产和消费的矛盾,生产相对过剩,资本主义基本矛盾,需求绝对减少,,C,易,单选题
69237,资本主义企业的生产成本是（ ）,不变资本价值与可变资本价值之和,不变资本价值与剩余价值之和,流动资本价值与剩余价值之和,可变资本价值与剩余价值之和,,A,易,单选题
69238,包含在资本家工厂里半成品中的资本价值处于资本循环的（　）,流通阶段,生产阶段,购买阶段,销售阶段,,B,易,单选题
69239,资本主义社会中级差地租产生的原因是（　）,土地自然条件的好坏,土地私有权垄断,土地的地理位置不同,土地的资本主义经营垄断,,D,易,单选题
69241,资本有机构成具体表现为（ ）,生产资料与劳动力的比率,固定资本与流动资本的比率,不变资本与可变资本的比率,生产资本与流通资本的比率,,C,易,单选题
69242,资本积累的实质是（ ）,剩余价值资本化,资本家为了社会进步,资本家省吃俭用的结果,资本家用无偿占有的剩余价值榨取更多的剩余价值,,D,易,单选题
69243,资本主义的意识形态（）,只具有历史进步性,既无历史进步性也无阶级局限性,只具有阶级局限性,既有历史进步性又有阶级局限性,,D,易,单选题
69245,剩余价值来源于( ),工人的剩余劳动,工人工资的扣除,劳动力的价值,不等价交换,,A,易,单选题
69247,无产阶级革命的根本问题是（    ）。,国家政权问题,党的领导问题,建立革命统一战线问题,武装斗争问题,,A,易,单选题
69248,"被历史学家称为法国无产阶级在""19世纪的最后一次革命，19世纪法国革命史诗的顶点和终点""的是（    ）",二月革命,巴黎公社革命,里昂工人起义,六月起义,,B,易,单选题
69249,“必然王国”和“自由王国”是（    ）,时间性概念,历史性概念,物质性概念,空间性概念,,B,易,单选题
69250,实现了人的“自由个性”的发展，是（    ）,社会主义社会之中的人的生存状态,共产主义社会之中的人的生存状态,资本主义社会以前的人的生存状态,资本主义社会之中的人的生存状态,,B,易,单选题
69251,马克思主义认为，消灭“三大差别”的关键在于（    ）,消灭工业与农业的差别,消灭城市和乡村的差别,消灭脑力劳动和体力劳动的差别,消灭利益差别,,D,易,单选题
69252,社会主义各个阶段的划分最终应以（    ）,生产力的发展为标准,以阶级斗争为标准,生产关系为标准,生产资料的公有制程度为标准,,A,易,单选题
69254,无产阶级专政的目标是（    ）,要消灭剥削、消灭阶级，进到无阶级社会,建设社会主义民主,防止国外敌人的侵略和颠覆，支持世界人民的革命斗争,不断巩固、发展无产阶级政权和社会主义制度,,A,易,单选题
69255,社会主义的根本任务是（     ）,进行政治体制改革、经济体制改革,解放生产力、发展生产力,进行阶级斗争,改革生产资料所有制,,B,易,单选题
69257,无产阶级政党的组织原则是（     ）,理论联系实际,民主集中制,实事求是,集体领导,,B,易,单选题
69259,社会主义从理论到实践的飞跃，具体途径是（    ）,实践,通过改革和革命实现的,通过对人民群众的教育和灌输实现的,通过无产阶级革命实现的,,D,易,单选题
69260,下列哪项不是列宁关于社会主义革命和建设的理论？(    ),建设具有本国特色的社会主义,新经济政策,资本主义经济发展不平衡的规律,社会主义革命可能在一国、几国获得胜利,,A,易,单选题
69261,下列哪项不属于苏俄新经济政策的内容？(    ),加强同资本主义国家的经济合作与交往,大力发展商业，建立工业和农业的结合点,民族资本的社会主义改造,用粮食税代替余粮征集制,,C,易,单选题
69262,1516年_______一书的出版，标志着空想社会主义的产生。(    ),《自然法典》,《乌托邦》,《太阳城》,《论最好的国家》,,B,易,单选题
69265,马克思说：“暴力是每一个孕育着新社会的旧社会的助产婆”，这说明(    ),暴力革命是无产阶级革命的主要的基本形式,暴力革命与和平发展可以相互取代,暴力革命是无产阶级革命的唯一形式,暴力革命与和平发展互相排斥,,A,易,单选题
69266,科学社会主义的直接理论来源是(    ),19世纪初期以圣西门、傅立叶、欧文为代表的空想社会主义,空想社会主义的学说,唯物史观和剩余价值学,空想平均共产主义,,A,易,单选题
69267,社会主义实现由空想到科学发展的标志是(    ),空想社会主义理想的破灭,《共产党宣言》的发表,无产阶级革命的胜利,“共产主义者同盟”的建立,,B,易,单选题
69268,列宁得出社会主义可能在一国或数国首先取得胜利的结论依据是(    ),无产阶级是最先进、最革命的阶级的原理,帝国主义时代资本主义政治经济发展不平衡的规律,资本主义必然灭亡、社会主义和共产主义必然胜利的规律,资本主义国家无产阶级与资产阶级斗争的规律,,B,易,单选题
69270,“从空想到科学、从理论到实践、从一国到多国、从取得巨大成就到遭遇重大挫折”，这一特点可以用来概括(    ),资本主义制度的发展,社会主义运动的发展,思想解放运动的发展,资本主义世界市场的发展,,B,易,单选题
69271,十月革命后，列宁说：“我们有权自豪，而且我们确实很自豪，因为我们有幸能够开始建设苏维埃国家，从而开创全世界历史的新时代，由一个新阶级实行统治的时代”。材料中的“新时代”是指(    ),不再参加帝国主义战争,人类社会开始进入社会主义,在俄国开辟出实现现代化的道路,无产阶级革命运动,,B,易,单选题
69272,苏联解体后也在对自身的历史进行着反思，于是有人认为，应该废除了11月7日的节日。可是每年11月7日，仍然有数十万人自发地走上街头，纪念俄国历史上这难忘的一天：“11月7日过去、现在、将来都是人民的节日!”这表明今天的俄罗斯人对哪一件历史事件的积极评价?(    ),十月革命,苏联的解体,马克思主义的诞生,巴黎公社的成立,,A,易,单选题
69273,自由王国是指人们(    ),不再受自然规律和社会规律支配的状态,摆脱了自然和社会关系的奴役，成为自己社会关系主人的状态,允许自由竞争的资本主义状态,处于绝对自由的原始社会状态,,B,易,单选题
